Origin,Destination,Distance_km
Vasai-Virar,Vadodara,367.95
Vadodara,Vasai-Virar,367.95
Najafgarh,Nangloi Jat,12.89
Nangloi Jat,Najafgarh,12.89
Najafgarh,Sultanpur Mazra,14.89
Sultanpur Mazra,Najafgarh,14.89
Najafgarh,Bhalswa Jahangirpur,26.36
Bhalswa Jahangirpur,Najafgarh,26.36
Najafgarh,New Delhi,27.62
New Delhi,Najafgarh,27.62
Najafgarh,Delhi,29.83
Delhi,Najafgarh,29.83
Najafgarh,Murtazabad,38.09
Murtazabad,Najafgarh,38.09
Najafgarh,Loni,42.12
Loni,Najafgarh,42.12
Najafgarh,Garhi,39.98
Garhi,Najafgarh,39.98
Najafgarh,Dalupura,40.7
Dalupura,Najafgarh,40.7
Najafgarh,Faridabad,52.55
Faridabad,Najafgarh,52.55
Varanasi,Mirzapur,63.11
Mirzapur,Varanasi,63.11
Varanasi,Prayagraj,128.41
Prayagraj,Varanasi,128.41
Varanasi,Patna,240.14
Patna,Varanasi,240.14
Varanasi,Sabalpur,246.27
Sabalpur,Varanasi,246.27
Varanasi,Muzaffarpur,308.47
Muzaffarpur,Varanasi,308.47
Varanasi,Lucknow,295.89
Lucknow,Varanasi,295.89
Varanasi,Kanpur,330.15
Kanpur,Varanasi,330.15
Varanasi,Ranchi,411.14
Ranchi,Varanasi,411.14
Varanasi,Bilaspur,514.9
Bilaspur,Varanasi,514.9
Varanasi,Sijua,403.49
Sijua,Varanasi,403.49
Srinagar,Amritsar,535.68
Amritsar,Srinagar,535.68
Srinagar,Ludhiana,602.5
Ludhiana,Srinagar,602.5
Srinagar,Shimla,773.46
Shimla,Srinagar,773.46
Srinagar,Chandigarh,676.31
Chandigarh,Srinagar,676.31
Srinagar,Sultanpur Mazra,913.52
Sultanpur Mazra,Srinagar,913.52
Srinagar,Bhalswa Jahangirpur,903.54
Bhalswa Jahangirpur,Srinagar,903.54
Srinagar,Nangloi Jat,915.42
Nangloi Jat,Srinagar,915.42
Srinagar,Meerut,902.67
Meerut,Srinagar,902.67
Srinagar,Loni,911.97
Loni,Srinagar,911.97
Srinagar,Najafgarh,936.83
Najafgarh,Srinagar,936.83
Aurangabad,Nasik,178.46
Nasik,Aurangabad,178.46
Aurangabad,Pimpri-Chinchwad,241.17
Pimpri-Chinchwad,Aurangabad,241.17
Aurangabad,Pune,232.91
Pune,Aurangabad,232.91
Aurangabad,Kalyan,296.19
Kalyan,Aurangabad,296.19
Aurangabad,Thane,309.37
Thane,Aurangabad,309.37
Aurangabad,Bhayandar,329.61
Bhayandar,Aurangabad,329.61
Aurangabad,Mumbai,329.55
Mumbai,Aurangabad,329.55
Aurangabad,Vasai-Virar,333.72
Vasai-Virar,Aurangabad,333.72
Aurangabad,Surat,378.26
Surat,Aurangabad,378.26
Aurangabad,Indore,409.72
Indore,Aurangabad,409.72
Dhanbad,Sijua,17.78
Sijua,Dhanbad,17.78
Dhanbad,Jamshedpur,148.51
Jamshedpur,Dhanbad,148.51
Dhanbad,Ranchi,152.17
Ranchi,Dhanbad,152.17
Dhanbad,Kankuria,262.9
Kankuria,Dhanbad,262.9
Dhanbad,Krishnanagar,245.97
Krishnanagar,Dhanbad,245.97
Dhanbad,Bansbaria,238.84
Bansbaria,Dhanbad,238.84
Dhanbad,Chandannagar,248.84
Chandannagar,Dhanbad,248.84
Dhanbad,Shrirampur,252.1
Shrirampur,Dhanbad,252.1
Dhanbad,Bhatpara,254.89
Bhatpara,Dhanbad,254.89
Dhanbad,Baj Baj,295.35
Baj Baj,Dhanbad,295.35
Amritsar,Ludhiana,142.37
Ludhiana,Amritsar,142.37
Amritsar,Chandigarh,229.56
Chandigarh,Amritsar,229.56
Amritsar,Shimla,335.93
Shimla,Amritsar,335.93
Amritsar,Srinagar,544.26
